12,13,19,36,44,55
10,21,24,36,38,51
7,34,45,51,54,59
1,4,25,27,29,37
27,37,38,43,45,54
3,19,34,44,56,58
5,37,43,49,54,56
16,17,25,47,48,58
8,18,20,24,36,45
11,16,22,30,34,42
8,9,10,24,42,44
1,19,46,47,49,53
14,26,35,38,45,53
9,27,35,45,46,59
31,33,34,35,39,48
1,6,23,26,39,49
2,6,27,37,44,47
7,25,41,47,50,53
8,13,28,31,32,33
26,29,36,49,50,59
2,14,18,29,36,38
23,24,26,38,42,49
21,23,37,44,46,48
8,15,32,33,58,59
17,19,37,41,42,49
16,18,31,39,42,44
6,8,28,51,53,59
7,16,21,33,55,60
2,12,35,51,57,58
7,40,44,50,52,57
10,11,17,19,37,41
17,20,26,36,42,54
14,23,29,41,57,58
4,13,14,21,30,34
1,2,11,12,34,49
1,8,11,22,30,35
9,23,28,40,48,59
6,21,34,46,54,59
19,20,26,51,52,57
5,18,30,35,39,60
2,3,6,18,20,28
13,16,36,53,54,55
6,12,31,32,46,60
11,16,24,46,54,55
1,7,28,30,44,46
7,12,24,27,39,58
1,31,44,46,53,58
2,11,20,31,43,47
14,15,47,50,56,59
3,11,15,21,27,49
8,10,17,29,37,40
13,20,24,25,38,41
19,21,26,31,42,49
11,12,20,40,41,46
4,28,29,30,43,52
1,9,19,21,34,54
4,19,27,35,40,44
17,25,30,35,42,57
11,14,21,25,46,50
17,39,43,46,52,53
1,41,44,46,54,58
5,10,12,18,25,33
4,12,16,34,44,49
19,22,29,41,44,59
8,38,44,50,56,60
3,27,36,39,40,43
11,13,16,24,31,46
2,10,12,27,45,56
3,13,40,44,46,50
4,6,17,34,51,57
2,8,18,37,56,58
1,10,11,13,35,49
5,15,20,27,30,58
2,8,18,27,38,60
9,24,28,45,49,51
6,11,13,19,24,51
16,29,35,43,49,56
4,16,19,31,33,44
8,14,27,34,52,54
11,13,15,17,22,27
10,11,12,37,38,59
8,11,18,37,40,51
5,10,32,38,48,49
3,14,24,27,38,56
2,18,19,23,34,53
4,35,43,46,47,53
12,21,25,37,38,49
7,20,26,37,38,39
1,18,19,33,56,60
6,25,33,42,48,49
13,18,35,40,41,42
10,22,40,46,55,58
1,2,14,37,55,58
2,11,15,30,36,39
13,16,26,35,37,39
5,6,12,15,22,43
7,9,23,33,57,59
8,18,23,37,42,58
12,15,18,30,52,55
10,12,13,20,22,54
24,33,34,35,46,60
5,26,27,34,42,48
3,17,34,35,40,48
3,5,9,40,42,47
2,11,13,26,32,59
6,25,27,35,45,55
4,11,20,30,37,43
10,14,36,53,55,60
6,10,19,24,25,29
8,10,15,23,25,34
33,36,40,44,45,54
8,9,11,25,39,41
4,5,36,40,44,56
4,19,23,29,56,59
10,13,20,37,38,54
18,22,29,34,36,47
6,25,35,43,46,53
4,7,12,22,26,39
12,22,27,37,40,55
50,51,56,57,58,59
